Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,25.0253,25.523,1,1,0.4881,,3,5,35,5,1,6,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,25.5234,26.0091,1,0,0.4765,,3,6,36,6,1,7,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,26.0093,26.1082,3,0,0.093,,3,7,37,7,1,8,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,26.1085,26.3917,3,0,0.2715,,3,8,38,8,1,9,L,,4
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,26.3921,26.9895,1,1,0.5924,,3,9,39,9,1,10,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,26.9899,27.4078,2,1,0.4078,,4,0,40,0,1,1,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,27.4081,27.9253,3,1,0.5067,,4,1,41,1,1,2,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,27.9256,28.4759,2,1,0.5407,,4,2,42,2,1,3,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,28.4762,28.9417,2,0,0.4582,,4,3,43,3,1,4,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,28.9421,28.9903,3,0,0.045,,4,4,44,4,1,5,I,,1
