Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,138.523,139.022,3,1,0.495,,,,,,,7,R,,3,0,2,2,6,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,139.023,139.638,2,1,0.604,,,,,,,8,M,,2,0,3,3,7,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,139.639,140.456,2,1,0.805,,,,,,,3,M,,2,0,4,4,2,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,140.457,141.005,1,1,0.544,,,,,,,5,I,,1,0,5,5,4,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,141.006,141.605,1,1,0.59,,,,,,,6,I,,1,0,6,6,5,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,141.606,142.172,1,1,0.555,,,,,,,10,I,,1,0,7,7,9,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,142.172,142.788,3,1,0.607,,,,,,,4,R,,3,0,8,8,3,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,142.789,143.405,3,1,0.604,,,,,,,2,R,,3,0,9,9,1,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,143.405,143.922,2,1,0.504,,,,,,,8,M,,2,1,0,10,7,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,143.923,144.672,4,1,0.745,,,,,,,9,L,,4,1,1,11,8,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,144.673,145.221,4,0,0.537,,,,,,,2,R,,3,1,2,12,1,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,145.222,145.956,1,1,0.724,,,,,,,5,I,,1,1,3,13,4,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,145.957,146.456,3,1,0.488,,,,,,,4,R,,3,1,4,14,3,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,146.456,147.072,2,1,0.603,,,,,,,3,M,,2,1,5,15,2,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,147.073,147.672,1,1,0.589,,,,,,,6,I,,1,1,6,16,5,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,147.673,148.222,1,1,0.542,,,,,,,10,I,,1,1,7,17,9,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,148.223,148.922,2,1,0.691,,,,,,,1,M,,2,1,8,18,0,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,148.923,149.422,3,1,0.488,,,,,,,7,R,,3,1,9,19,6,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,149.422,149.972,2,1,0.539,,,,,,,8,M,,2,2,0,20,7,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,149.973,150.522,3,1,0.537,,,,,,,7,R,,3,2,1,21,6,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,150.522,150.988,2,1,0.455,,,,,,,1,M,,2,2,2,22,0,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,150.989,151.622,1,1,0.625,,,,,,,5,I,,1,2,3,23,4,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,151.623,152.256,4,1,0.621,,,,,,,9,L,,4,2,4,24,8,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,152.256,152.891,3,1,0.62,,,,,,,2,R,,3,2,5,25,1,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,152.893,153.539,1,1,0.634,,,,,,,10,I,,1,2,6,26,9,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,153.541,154.139,3,1,0.586,,,,,,,4,R,,3,2,7,27,3,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,154.14,154.688,1,0,0.537,,,,,,,3,M,,2,2,8,28,2,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,154.689,154.755,2,0,0.061,,,,,,,6,I,,1,2,9,29,5,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,154.757,155.858,1,1,1.089,,,,,,,5,I,,1,3,0,30,4,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,155.858,156.373,1,1,0.501,,,,,,,6,I,,1,3,1,31,5,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,156.373,156.989,3,1,0.606,,,,,,,2,R,,3,3,2,32,1,1,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,156.99,157.605,1,1,0.604,,,,,,,10,I,,1,3,3,33,9,1,,
